Quantity,Reference Designator,Model
2,"R1A, R2A","4.99k ohm, 0603, Thin Film, 0.1%"
6,"R4A, R4B, R4C, R4D, R5M, JP1","0 ohm, 0603"
1,R1B,"976 ohm, 0603, Thin Film, 0.1%"
1,R2B,"10.2k ohm, 0603, Thin Film, 0.1%"
1,R1C,"619 ohm, 0603, Thin Film, 0.1%"
1,R2C,"15.8k ohm, 0603, Thin Film, 0.1%"
1,R1D,"523 ohm, 0603, Thin Film, 0.1%"
1,R2D,"19.1k ohm, 0603, Thin Film, 0.1%"
4,"C1A, C1B, C1C, C1D","1.1nF, 0603, C0G, 1%"
1,C2A,"43pF, 0603, C0G, 1%"
4,"C9A, C9B, C9C, C9D","100nF, 0603, X7R, 20%"
3,"C2B, C2C, C2D","110pF, 0603, C0G, 1%"
1,C101M,"10uF, 6032, tantalum, 20%"
4,"U1A, U1B, U1C, U1D","AD8656, SOIC"
4,"J1M, J2M, J3M, J4M","67996-206HLF, 2x3 0.1"" header"
4," J1A, J1B, J1C, J1D","BCS-103-L-D-TE, 2x3 0.1"" socket"
2,"J5M, J6M","142-0701-851, SMA Jack, board edge female"
3,"+VS, -VS, GND","68000-101HLF, Test pin"
